data_czas,kod_stacji,nazwa_stacji,rok,miesiac,dzien,godzina,temperatura_C,wilgotnosc_proc,punkt_rosy_C,cisnienie_hPa,cisnienie_msl_hPa,kierunek_wiatru,predkosc_wiatru,poryw_wiatru,zachmurzenie_oktanty,pogoda_biezaca,pogoda_ubiegla,opad_mm_6h,status_opadu_6h,rodzaj_opadu_6h,snieg_cm
2025-01-01 00:00:00,351150400,ZIELONA GÓRA,2025,1,1,0,-0.2,85,-2.4,996.5,1020.8,245.0,5.0,11.0,,0,,,9.0,,
2025-01-01 01:00:00,351150400,ZIELONA GÓRA,2025,1,1,1,0.2,80,-2.8,996.3,1020.6,245.0,5.0,11.0,,0,,,8.0,,
2025-01-01 02:00:00,351150400,ZIELONA GÓRA,2025,1,1,2,0.6,81,-2.3,995.0,1019.2,230.0,6.0,12.0,,0,,,8.0,,
2025-01-01 03:00:00,351150400,ZIELONA GÓRA,2025,1,1,3,0.9,79,-2.3,994.4,1018.6,225.0,6.0,11.0,,0,,,8.0,,
2025-01-01 04:00:00,351150400,ZIELONA GÓRA,2025,1,1,4,1.2,78,-2.2,994.0,1018.1,234.0,6.0,11.0,,0,,,8.0,,
2025-01-01 05:00:00,351150400,ZIELONA GÓRA,2025,1,1,5,1.5,79,-1.7,993.6,1017.7,230.0,5.0,10.0,,0,,,8.0,,
2025-01-01 06:00:00,351150400,ZIELONA GÓRA,2025,1,1,6,1.8,81,-1.1,993.2,1017.3,220.0,6.0,11.0,7.0,0,,,9.0,,
2025-01-01 07:00:00,351150400,ZIELONA GÓRA,2025,1,1,7,2.4,81,-0.5,992.6,1016.6,225.0,5.0,10.0,7.0,3,2.0,,8.0,,
2025-01-01 08:00:00,351150400,ZIELONA GÓRA,2025,1,1,8,2.7,80,-0.4,992.3,1016.3,225.0,5.0,11.0,7.0,2,2.0,,8.0,,
2025-01-01 09:00:00,351150400,ZIELONA GÓRA,2025,1,1,9,2.9,79,-0.4,992.2,1016.1,228.0,5.0,10.0,8.0,3,2.0,,8.0,,
2025-01-01 10:00:00,351150400,ZIELONA GÓRA,2025,1,1,10,3.5,77,-0.2,991.7,1015.6,223.0,6.0,,7.0,3,2.0,,8.0,,
2025-01-01 11:00:00,351150400,ZIELONA GÓRA,2025,1,1,11,4.1,75,0.1,991.0,1014.8,226.0,5.0,11.0,7.0,1,2.0,,8.0,,
2025-01-01 12:00:00,351150400,ZIELONA GÓRA,2025,1,1,12,4.5,73,0.1,989.9,1013.7,231.0,6.0,12.0,8.0,3,2.0,,9.0,,
2025-01-01 13:00:00,351150400,ZIELONA GÓRA,2025,1,1,13,5.0,69,-0.2,988.8,1012.5,222.0,5.0,,8.0,1,2.0,,8.0,,
2025-01-01 14:00:00,351150400,ZIELONA GÓRA,2025,1,1,14,4.3,72,-0.3,987.8,1011.5,213.0,5.0,,8.0,3,2.0,,8.0,,
2025-01-01 15:00:00,351150400,ZIELONA GÓRA,2025,1,1,15,4.1,73,-0.3,987.1,1010.8,222.0,4.0,,8.0,3,2.0,,8.0,,
2025-01-01 16:00:00,351150400,ZIELONA GÓRA,2025,1,1,16,4.1,71,-0.7,986.5,1010.2,218.0,4.0,,8.0,1,2.0,,8.0,,
