time,2m_temperature_x,2m_dewpoint_temperature_x,2m_temperature_y,2m_dewpoint_temperature_y,2m_temperature,2m_dewpoint_temperature,surface_pressure,10m_u_component_of_wind,10m_v_component_of_wind,skin_temperature,total_precipitation,snow_depth,snow_depth_water_equivalent,surface_runoff,sub_surface_runoff,runoff,total_evaporation,potential_evaporation,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,plik_zrodlowy
2025-01-01 00:00:00,1.19,-2.57,1.19,-2.57,1.19,-2.57,100829.05,4.263199,2.738679,0.02,1.2427568e-05,0.0009765625,0.0001783371,1.1920929e-07,6.674975e-05,6.687641e-05,-0.00025055557,-0.0013775527,0.83,1.83,4.73,9.99,0.21852112,0.2232666,0.19950867,0.20051575,3324864.0,21599060.0,zielona_gora_2025_01.csv
2025-01-01 01:00:00,1.19,-2.81,1.19,-2.81,1.19,-2.81,100767.83,4.2340393,2.9883404,0.05,0.0,0.0009765625,0.00017738342,0.0,2.7809292e-06,2.7809292e-06,-6.4255437e-06,-8.289516e-05,0.84,1.82,4.72,9.99,0.21842957,0.22320557,0.19953918,0.20051575,0.0,876112.3,zielona_gora_2025_01.csv
2025-01-01 02:00:00,1.27,-3.02,1.27,-3.02,1.27,-3.02,100733.51,4.321701,2.9114685,0.12,0.0,0.0009765625,0.00017738342,0.0,5.5618584e-06,5.5618584e-06,-1.3579149e-05,-0.00017632172,0.86,1.81,4.72,9.98,0.21832275,0.22312927,0.19955444,0.20051575,0.0,1753994.0,zielona_gora_2025_01.csv
2025-01-01 03:00:00,1.58,-3.07,1.58,-3.07,1.58,-3.07,100693.0,4.56781,2.9863586,0.47,0.0,0.0009765625,0.00017642975,0.0,8.342788e-06,8.34465e-06,-2.2252789e-05,-0.00028822385,0.93,1.81,4.71,9.98,0.21820068,0.22306824,0.1995697,0.20051575,0.0,2696834.2,zielona_gora_2025_01.csv
2025-01-01 04:00:00,1.53,-2.83,1.53,-2.83,1.53,-2.83,100616.7,4.65477,3.0461216,0.52,0.0,0.0009765625,0.00017642975,0.0,1.1123717e-05,1.1123717e-05,-3.0248426e-05,-0.0003945753,0.98,1.81,4.7,9.97,0.21809387,0.22299194,0.19958496,0.20051575,0.0,3610188.0,zielona_gora_2025_01.csv
2025-01-01 05:00:00,1.71,-2.24,1.71,-2.24,1.71,-2.24,100567.88,4.7459564,3.115635,0.78,0.0,0.0009765625,0.00017547607,0.0,1.3902783e-05,1.3902783e-05,-3.8129278e-05,-0.00049971417,1.13,1.82,4.7,9.97,0.2179718,0.22293091,0.19960022,0.20051575,0.0,4582388.5,zielona_gora_2025_01.csv
2025-01-01 06:00:00,2.19,-1.46,2.19,-1.46,2.19,-1.46,100509.766,4.7720947,3.334566,1.32,0.0,0.0009765625,0.00017547607,3.7252903e-09,1.6685575e-05,1.66893e-05,-4.6050176e-05,-0.00060740113,1.44,1.86,4.69,9.96,0.21784973,0.22285461,0.19961548,0.20051575,0.0,5625881.0,zielona_gora_2025_01.csv
2025-01-01 07:00:00,2.66,-0.49,2.66,-0.49,2.66,-0.49,100473.91,5.005783,3.5002441,1.71,8.5681677e-07,0.0009765625,0.00017261505,2.2351742e-08,1.9464642e-05,1.9490719e-05,-5.228864e-05,-0.0006969273,1.68,1.91,4.68,9.96,0.2177887,0.22279358,0.199646,0.20051575,0.0,6624703.0,zielona_gora_2025_01.csv
2025-01-01 08:00:00,3.17,-0.25,3.17,-0.25,3.17,-0.25,100425.41,4.9468994,3.8918,2.24,8.5681677e-07,0.0009765625,0.00016880035,4.4703484e-08,2.2247434e-05,2.2295862e-05,-6.196927e-05,-0.00080824643,2.0,1.97,4.67,9.95,0.21772766,0.22271729,0.19966125,0.20051575,43896.0,7633158.0,zielona_gora_2025_01.csv
2025-01-01 09:00:00,3.91,-0.07,3.91,-0.07,3.91,-0.07,100384.05,5.0091553,3.952713,3.08,8.5681677e-07,0.0009765625,0.00016307831,8.195639e-08,2.50265e-05,2.5108457e-05,-8.267723e-05,-0.00096388906,2.49,2.07,4.67,9.95,0.21762085,0.22262573,0.19966125,0.20051575,246844.0,8626586.0,zielona_gora_2025_01.csv
2025-01-01 10:00:00,5.07,0.27,5.07,0.27,5.07,0.27,100309.37,5.0597534,3.8701782,4.43,8.5681677e-07,0.0009765625,0.00015544891,1.3783574e-07,2.7809292e-05,2.7947128e-05,-0.00012093969,-0.0011876784,3.28,2.21,4.67,9.95,0.21746826,0.22250366,0.19967651,0.20051575,651250.0,9660370.0,zielona_gora_2025_01.csv
2025-01-01 11:00:00,6.07,0.41,6.07,0.41,6.07,0.41,100227.08,5.0168,3.8808594,5.61,8.5681677e-07,0.0009765625,0.00014591217,2.0116568e-07,3.0592084e-05,3.079325e-05,-0.00017542113,-0.0014647283,4.02,2.4,4.66,9.94,0.21722412,0.22236633,0.19967651,0.20051575,1240942.0,10631154.0,zielona_gora_2025_01.csv
2025-01-01 12:00:00,6.79,0.17,6.79,0.17,6.79,0.17,100096.055,5.063431,3.9137745,6.36,8.5681677e-07,0.0009765625,0.0001373291,2.6077032e-07,3.337115e-05,3.363192e-05,-0.00023696478,-0.0017759278,4.55,2.6,4.66,9.94,0.21694946,0.22221375,0.19967651,0.20050049,1817592.0,11590055.0,zielona_gora_2025_01.csv
2025-01-01 13:00:00,7.31,-0.3,7.31,-0.3,7.31,-0.3,99990.57,5.133362,3.7070923,6.69,8.5681677e-07,0.0009765625,0.0001296997,3.2037497e-07,3.6153942e-05,3.6470592e-05,-0.00029617082,-0.0021046624,4.84,2.81,4.66,9.93,0.21664429,0.22207642,0.19966125,0.20050049,2248276.0,12565183.0,zielona_gora_2025_01.csv
2025-01-01 14:00:00,7.51,-1.08,7.51,-1.08,7.51,-1.08,99895.25,5.2948027,3.591751,6.63,8.5681677e-07,0.0009765625,0.00012302399,3.6507845e-07,3.893301e-05,3.9294362e-05,-0.00034306291,-0.0024277195,4.89,3.0,4.66,9.93,0.21638489,0.22195435,0.19967651,0.20050049,2473152.0,13556696.0,zielona_gora_2025_01.csv
2025-01-01 15:00:00,7.65,-2.03,7.65,-2.03,7.65,-2.03,99825.56,5.6165915,3.5300598,6.55,8.6426735e-07,0.0009765625,0.00011634827,4.0233135e-07,4.170835e-05,4.2118132e-05,-0.00037438143,-0.002768077,4.9,3.17,4.66,9.92,0.216156,0.2218628,0.19967651,0.20050049,2518796.0,14611069.0,zielona_gora_2025_01.csv
2025-01-01 16:00:00,7.72,-2.76,7.72,-2.76,7.72,-2.76,99761.55,5.8781757,3.564621,6.51,8.6426735e-07,0.0009765625,0.000111579895,4.4703484e-07,4.4494867e-05,4.4927e-05,-0.00040080305,-0.0031363592,4.92,3.33,4.67,9.92,0.21592712,0.2217865,0.19969177,0.20050049,2518796.0,15659811.0,zielona_gora_2025_01.csv
2025-01-01 17:00:00,7.85,-3.2,7.85,-3.2,7.85,-3.2,99700.92,6.0627136,3.6566162,6.6,8.6426735e-07,0.0009765625,0.00010585785,4.7683716e-07,4.7266483e-05,4.774332e-05,-0.00042900536,-0.0035380125,5.03,3.48,4.67,9.91,0.21566772,0.22169495,0.19970703,0.20050049,2518796.0,16716931.0,zielona_gora_2025_01.csv
2025-01-01 18:00:00,7.99,-3.5,7.99,-3.5,7.99,-3.5,99633.34,6.1460705,3.8342285,6.72,8.6426735e-07,0.0009765625,0.00010108948,5.066395e-07,5.0053e-05,5.054474e-05,-0.00045849103,-0.003965363,5.14,3.63,4.68,9.91,0.21540833,0.22161865,0.19972229,0.20050049,2518796.0,17768804.0,zielona_gora_2025_01.csv
2025-01-01 19:00:00,8.0,-3.5,8.0,-3.5,8.0,-3.5,99545.234,6.198553,4.200165,6.79,8.6426735e-07,0.0009765625,9.6321106e-05,5.364418e-07,5.2832067e-05,5.3346157e-05,-0.0004883008,-0.0044027045,5.24,3.77,4.68,9.9,0.21511841,0.2215271,0.19973755,0.20050049,2518796.0,18823468.0,zielona_gora_2025_01.csv
2025-01-01 20:00:00,8.39,-3.63,8.39,-3.63,8.39,-3.63,99533.08,6.676485,3.7963562,7.1,8.6426735e-07,0.0009765625,9.1552734e-05,5.662441e-07,5.5611134e-05,5.6162477e-05,-0.0005203225,-0.004883431,5.46,3.91,4.69,9.9,0.21484375,0.2214508,0.19975281,0.20050049,2518796.0,19902736.0,zielona_gora_2025_01.csv
2025-01-01 21:00:00,8.63,-3.86,8.63,-3.86,8.63,-3.86,99466.64,6.899478,3.725586,7.38,8.6426735e-07,0.0009765625,8.678436e-05,5.811453e-07,5.83902e-05,5.8978796e-05,-0.00055395626,-0.0053932443,5.67,4.05,4.7,9.89,0.21452332,0.22135925,0.19975281,0.20050049,2518796.0,20990354.0,zielona_gora_2025_01.csv
2025-01-01 22:00:00,8.84,-3.91,8.84,-3.91,8.84,-3.91,99438.94,6.913146,3.7753754,7.69,8.6426735e-07,0.0009765625,8.201599e-05,6.109476e-07,6.116927e-05,6.1780214e-05,-0.0005892152,-0.005931191,5.9,4.2,4.71,9.89,0.21420288,0.2212677,0.19976807,0.20050049,2518796.0,22125672.0,zielona_gora_2025_01.csv
2025-01-01 23:00:00,8.94,-3.67,8.94,-3.67,8.94,-3.67,99362.69,6.844203,3.7325287,7.91,1.5497208e-06,0.0009765625,7.724762e-05,6.556511e-07,6.394833e-05,6.4596534e-05,-0.0006247731,-0.0064718947,6.09,4.35,4.72,9.88,0.21388245,0.22117615,0.19978333,0.20050049,2518796.0,23291192.0,zielona_gora_2025_01.csv
2025-01-02 00:00:00,8.88,-2.95,8.88,-2.95,8.88,-2.95,99342.34,6.851242,3.600708,7.95,3.1471252e-05,-7.345365e-24,7.247925e-05,8.046627e-07,6.673485e-05,6.751716e-05,-0.00065859687,-0.006978549,6.18,4.49,4.73,9.88,0.21382141,0.2210846,0.19979858,0.20050049,2518796.0,24448974.0,zielona_gora_2025_01.csv
2025-01-02 01:00:00,8.43,-1.78,8.43,-1.78,8.43,-1.78,99276.516,6.7239685,3.3850555,7.7,0.00018300489,-7.345365e-24,6.771088e-05,7.972121e-07,2.7790666e-06,3.5762787e-06,-3.8516475e-05,-0.000447263,6.14,4.61,4.74,9.87,0.21504211,0.2210083,0.19981384,0.20050049,0.0,1181596.2,zielona_gora_2025_01.csv
2025-01-02 02:00:00,7.88,-0.29,7.88,-0.29,7.88,-0.29,99295.01,6.730179,3.1529694,7.02,0.00045242533,-7.345365e-24,6.389618e-05,1.9595027e-06,5.5599958e-06,7.517636e-06,-0.000115253264,-0.00081154704,5.92,4.71,4.75,9.87,0.21704102,0.22094727,0.1998291,0.20050049,0.0,2362952.8,zielona_gora_2025_01.csv
2025-01-02 03:00:00,7.06,1.49,7.06,1.49,7.06,1.49,99272.06,6.596527,2.9959717,6.23,0.00078731775,-7.345365e-24,6.0081482e-05,3.4049153e-06,8.3372e-06,1.1742115e-05,-0.00020784489,-0.001067698,5.6,4.78,4.76,9.86,0.21963501,0.22090149,0.19984436,0.20050049,0.0,3546959.8,zielona_gora_2025_01.csv
2025-01-02 04:00:00,6.43,2.59,6.43,2.59,6.43,2.59,99241.74,6.365921,2.7404327,5.51,0.0011888072,-7.345365e-24,5.6266785e-05,5.13345e-06,1.11199915e-05,1.6249716e-05,-0.00031438493,-0.001245778,5.28,4.81,4.78,9.86,0.22277832,0.22087097,0.19985962,0.20050049,0.0,4733700.5,zielona_gora_2025_01.csv
